nm,6 uM,12 uM,18 uM,24 uM,30 uM,36 uM,42 uM,48 uM,54 uM,60 uM
340.43,0.146391566,0.439066265,0.847512048,0.002753012,-0.125331325,0.525548193,-0.000614458,-0.007325301,-0.008451807,0.081084337
340.8,-0.719608434,-0.247933735,0.172512048,-0.219246988,-1.690331325,-0.002451807,-0.222614458,0.407674699,0.468548193,0.009084337
341.17,-0.421608434,0.005066265,0.002512048,-0.119246988,-0.216331325,-0.002451807,-0.000614458,0.159674699,-0.008451807,-0.226915663
341.54,0.096391566,-0.186933735,-0.158487952,0.085753012,0.476668675,-0.002451807,-0.000614458,-0.007325301,-0.423451807,0.158084337
341.91,0.453391566,-0.401933735,-0.412487952,0.318753012,1.135668675,-0.002451807,-0.218614458,-0.007325301,0.028548193,-0.405915663
342.28,-0.363608434,0.230066265,0.116512048,-0.139246988,0.668668675,-0.031451807,-0.269614458,0.024674699,-0.008451807,-0.212915663
342.65,0.004391566,-0.960933735,0.002512048,0.615753012,-0.368331325,-0.002451807,-1.079614458,-0.007325301,-0.008451807,0.360084337
343.02,0.162391566,0.005066265,0.002512048,0.002753012,0.070668675,-0.493451807,-0.000614458,-0.201325301,-0.417451807,0.096084337
343.39,-0.250608434,0.134066265,-0.395487952,0.069753012,-0.000331325,0.862548193,-0.000614458,-0.007325301,0.529548193,-0.012915663
343.76,0.004391566,0.943066265,-0.696487952,-0.128246988,0.231668675,-0.002451807,0.430385542,0.493674699,0.976548193,-0.091915663
344.13,-0.283608434,0.908066265,-0.118487952,-0.122246988,-0.954331325,0.102548193,-0.000614458,-0.007325301,-0.008451807,-0.012915663
344.5,0.004391566,0.005066265,-0.252487952,0.002753012,0.183668675,-0.002451807,-0.000614458,-0.444325301,-0.008451807,-0.281915663
344.87,0.657391566,0.005066265,1.758512048,-0.157246988,-0.000331325,-0.002451807,-0.000614458,-0.007325301,-0.084451807,0.288084337
345.23,0.004391566,-0.823933735,0.002512048,0.267753012,0.059668675,0.666548193,-0.000614458,0.821674699,-0.255451807,0.055084337
345.6,0.004391566,0.508066265,0.097512048,0.115753012,-0.000331325,0.008548193,-0.200614458,0.245674699,-0.180451807,0.294084337
345.97,-0.857608434,0.005066265,0.303512048,-0.314246988,-0.222331325,0.173548193,-0.117614458,-0.047325301,0.105548193,-0.585915663
346.34,-0.565608434,-0.374933735,0.479512048,0.729753012,-0.040331325,1.359548193,-0.000614458,0.181674699,-0.008451807,-0.220915663
346.71,-0.043608434,0.197066265,0.002512048,-0.076246988,0.522668675,-0.490451807,0.570385542,-0.007325301,0.894548193,0.589084337
347.08,0.004391566,0.549066265,0.002512048,0.790753012,-0.137331325,0.152548193,0.511385542,0.536674699,0.660548193,0.081084337
347.45,0.004391566,0.005066265,0.458512048,0.002753012,-0.000331325,-0.148451807,-0.000614458,0.036674699,-0.008451807,-0.079915663
347.82,0.982391566,0.005066265,0.002512048,0.002753012,0.522668675,-0.260451807,-0.000614458,-0.024325301,-0.008451807,0.496084337
348.19,1.451391566,0.005066265,0.002512048,-0.219246988,0.351668675,-1.507451807,0.411385542,-0.077325301,0.408548193,-0.629915663
348.56,0.576391566,0.005066265,0.002512048,-0.054246988,-0.336331325,0.365548193,-0.000614458,-0.007325301,-0.008451807,-0.037915663
348.92,0.315391566,0.251066265,0.493512048,0.145753012,0.173668675,0.312548193,0.214385542,0.489674699,0.263548193,0.032084337
349.29,0.050391566,-0.024933735,0.049512048,0.079753012,0.156668675,0.206548193,0.195385542,0.249674699,0.186548193,0.324084337
349.66,0.017391566,0.138066265,0.082512048,0.159753012,0.154668675,0.195548193,0.247385542,0.221674699,0.219548193,0.252084337
350.03,0.036391566,0.085066265,0.088512048,0.080753012,0.137668675,0.132548193,0.174385542,0.266674699,0.158548193,0.249084337
350.4,0.044391566,0.053066265,0.063512048,0.099753012,0.174668675,0.165548193,0.190385542,0.289674699,0.220548193,0.202084337
350.77,0.096391566,-0.009933735,0.113512048,0.186753012,0.131668675,0.192548193,0.155385542,0.211674699,0.309548193,0.229084337
351.14,0.078391566,0.087066265,0.123512048,0.144753012,0.070668675,0.170548193,0.190385542,0.123674699,0.199548193,0.158084337
351.51,0.028391566,0.090066265,0.140512048,0.076753012,0.086668675,0.271548193,0.193385542,0.218674699,0.199548193,0.110084337
351.87,0.045391566,0.039066265,0.082512048,0.098753012,0.106668675,0.220548193,0.178385542,0.281674699,0.272548193,0.249084337
352.24,0.045391566,0.093066265,0.099512048,0.171753012,0.178668675,0.203548193,0.201385542,0.166674699,0.320548193,0.284084337
352.61,0.044391566,0.119066265,0.134512048,0.183753012,0.139668675,0.194548193,0.247385542,0.285674699,0.344548193,0.247084337
352.98,0.031391566,0.072066265,0.116512048,0.189753012,0.160668675,0.201548193,0.166385542,0.281674699,0.253548193,0.207084337
353.35,0.109391566,0.114066265,0.171512048,0.150753012,0.121668675,0.142548193,0.195385542,0.220674699,0.195548193,0.228084337
353.72,-0.008608434,0.052066265,0.223512048,0.096753012,0.141668675,0.137548193,0.223385542,0.218674699,0.328548193,0.278084337
354.09,0.152391566,0.113066265,0.144512048,0.168753012,0.176668675,0.165548193,0.244385542,0.182674699,0.231548193,0.223084337
354.45,0.063391566,0.082066265,0.112512048,0.126753012,0.142668675,0.139548193,0.368385542,0.234674699,0.263548193,0.275084337
354.82,0.096391566,0.021066265,0.124512048,0.067753012,0.132668675,0.201548193,0.228385542,0.252674699,0.287548193,0.209084337
355.19,0.111391566,0.117066265,0.137512048,0.140753012,0.152668675,0.190548193,0.184385542,0.270674699,0.179548193,0.239084337
355.56,0.064391566,0.040066265,0.123512048,0.134753012,0.114668675,0.199548193,0.268385542,0.252674699,0.287548193,0.206084337
355.93,0.035391566,0.078066265,0.157512048,0.136753012,0.070668675,0.259548193,0.239385542,0.136674699,0.190548193,0.218084337
356.3,0.103391566,0.065066265,0.093512048,0.141753012,0.132668675,0.228548193,0.312385542,0.286674699,0.202548193,0.278084337
356.66,0.078391566,0.031066265,0.118512048,0.106753012,0.125668675,0.211548193,0.262385542,0.233674699,0.259548193,0.265084337
357.03,0.072391566,0.098066265,0.117512048,0.104753012,0.093668675,0.154548193,0.207385542,0.159674699,0.176548193,0.266084337
357.4,0.053391566,0.037066265,0.050512048,0.113753012,0.182668675,0.171548193,0.277385542,0.176674699,0.339548193,0.217084337
357.77,0.042391566,0.024066265,0.156512048,0.136753012,0.163668675,0.162548193,0.203385542,0.212674699,0.305548193,0.211084337
358.14,0.059391566,0.135066265,0.130512048,0.196753012,0.193668675,0.139548193,0.240385542,0.249674699,0.170548193,0.282084337
358.51,0.096391566,0.085066265,0.129512048,0.111753012,0.179668675,0.214548193,0.155385542,0.270674699,0.241548193,0.197084337
358.87,0.048391566,0.088066265,0.130512048,0.162753012,0.135668675,0.163548193,0.244385542,0.249674699,0.276548193,0.218084337
359.24,0.039391566,0.073066265,0.075512048,0.141753012,0.101668675,0.155548193,0.215385542,0.198674699,0.273548193,0.198084337
359.61,0.070391566,0.032066265,0.154512048,0.129753012,0.145668675,0.174548193,0.224385542,0.218674699,0.232548193,0.188084337
359.98,0.074391566,0.066066265,0.073512048,0.066753012,0.156668675,0.215548193,0.217385542,0.191674699,0.198548193,0.254084337
360.35,0.072391566,0.123066265,0.167512048,0.070753012,0.172668675,0.248548193,0.307385542,0.254674699,0.281548193,0.221084337
360.71,0.072391566,0.063066265,0.095512048,0.128753012,0.183668675,0.181548193,0.221385542,0.224674699,0.246548193,0.207084337
361.08,0.030391566,0.089066265,0.062512048,0.094753012,0.124668675,0.181548193,0.144385542,0.251674699,0.303548193,0.207084337
361.45,0.083391566,0.092066265,0.130512048,0.084753012,0.135668675,0.156548193,0.264385542,0.296674699,0.279548193,0.208084337
361.82,0.034391566,0.100066265,0.096512048,0.084753012,0.136668675,0.117548193,0.243385542,0.238674699,0.238548193,0.301084337
362.18,0.037391566,0.077066265,0.159512048,0.086753012,0.082668675,0.149548193,0.269385542,0.243674699,0.316548193,0.306084337
362.55,0.013391566,0.124066265,0.105512048,0.053753012,0.116668675,0.161548193,0.208385542,0.240674699,0.243548193,0.242084337
362.92,0.093391566,0.097066265,0.077512048,0.095753012,0.122668675,0.145548193,0.214385542,0.282674699,0.218548193,0.256084337
363.29,0.038391566,0.126066265,0.199512048,0.095753012,0.125668675,0.146548193,0.210385542,0.243674699,0.256548193,0.260084337
363.66,0.010391566,0.072066265,0.135512048,0.144753012,0.094668675,0.190548193,0.221385542,0.290674699,0.219548193,0.217084337
364.02,0.014391566,0.054066265,0.063512048,0.096753012,0.112668675,0.161548193,0.185385542,0.213674699,0.260548193,0.219084337
364.39,0.030391566,0.077066265,0.137512048,0.134753012,0.096668675,0.188548193,0.109385542,0.178674699,0.202548193,0.265084337
364.76,0.017391566,0.030066265,0.098512048,0.143753012,0.146668675,0.176548193,0.208385542,0.161674699,0.247548193,0.298084337
365.13,0.074391566,0.079066265,0.081512048,0.090753012,0.115668675,0.205548193,0.194385542,0.226674699,0.258548193,0.204084337
365.49,0.038391566,0.005066265,0.090512048,0.087753012,0.096668675,0.115548193,0.225385542,0.187674699,0.314548193,0.254084337
365.86,0.051391566,0.033066265,0.091512048,0.124753012,0.129668675,0.204548193,0.179385542,0.297674699,0.232548193,0.248084337
366.23,0.083391566,0.055066265,0.138512048,0.140753012,0.147668675,0.162548193,0.278385542,0.293674699,0.211548193,0.299084337
366.6,0.093391566,0.074066265,0.087512048,0.155753012,0.116668675,0.173548193,0.211385542,0.177674699,0.275548193,0.253084337
366.96,0.046391566,0.065066265,0.061512048,0.134753012,0.123668675,0.149548193,0.226385542,0.243674699,0.241548193,0.236084337
367.33,0.034391566,0.030066265,0.114512048,0.150753012,0.179668675,0.161548193,0.254385542,0.274674699,0.213548193,0.187084337
367.7,0.038391566,0.078066265,0.162512048,0.146753012,0.148668675,0.180548193,0.204385542,0.242674699,0.270548193,0.224084337
368.07,0.110391566,0.064066265,0.133512048,0.166753012,0.177668675,0.193548193,0.248385542,0.215674699,0.261548193,0.229084337
368.43,0.101391566,0.088066265,0.098512048,0.122753012,0.214668675,0.150548193,0.203385542,0.291674699,0.180548193,0.246084337
